year,session,code,unit,max_mark,A*,A,B,C,D,E
2019,june,FM02,FURTHER MATHEMATICS UNIT 2,80,,64,55,46,38,30
2019,june,FM03,FURTHER MATHEMATICS UNIT 3,120,107,95,82,70,58,46
2019,june,FM04,FURTHER MATHEMATICS UNIT 4,80,66,58,50,42,34,27
2019,june,FM05,FURTHER MATHEMATICS UNIT 5,80,71,63,55,47,39,32
2019,june,MA01,MATHEMATICS UNIT 1,80,,61,52,44,36,28
2019,june,MA02,MATHEMATICS UNIT 2,80,,63,55,47,39,31
2019,june,MA03,MATHEMATICS UNIT 3,120,107,95,83,71,59,48
2019,june,MA04,MATHEMATICS UNIT 4,80,72,64,56,48,40,32
2019,june,MA05,MATHEMATICS UNIT 5,80,71,63,55,47,39,31
2019,june,PH01,PHYSICS UNIT 1,80,,50,45,40,35,30
2019,june,PH02,PHYSICS UNIT 2,80,,54,48,42,36,31
2019,june,PH03,PHYSICS UNIT 3,80,56,51,46,41,36,31
2019,june,PH04,PHYSICS UNIT 4,80,61,55,49,43,37,32
2019,june,PH05,PHYSICS UNIT 5,80,61,55,49,43,38,33
2019,june,PS01,PSYCHOLOGY UNIT 1,90,,63,55,47,40,33
2019,june,PS02,PSYCHOLOGY UNIT 2,90,,70,61,52,43,34
2018,june,BL01,BIOLOGY UNIT 1,75,,52,46,40,34,28
2018,june,BL02,BIOLOGY UNIT 2,75,,48,43,38,33,28
2018,june,BL03,BIOLOGY UNIT 3,75,53,48,43,38,33,29
2018,june,BL04,BIOLOGY UNIT 4,75,53,48,43,38,34,30
2018,june,BL05,BIOLOGY UNIT 5,75,49,44,39,35,31,27
2018,june,CH01,CHEMISTRY UNIT 1,70,,54,47,40,34,28
2018,june,CH02,CHEMISTRY UNIT 2,70,,54,47,40,34,28
2018,june,CH03,CHEMISTRY UNIT 3,80,69,60,51,42,34,26
2018,june,CH04,CHEMISTRY UNIT 4,80,68,59,50,42,34,26
2018,june,CH05,CHEMISTRY UNIT 5,60,52,46,40,34,28,23
2018,june,EN01,ENGLISH LANGUAGE UNIT 1,50,,40,35,30,25,20
2018,june,EN02,ENGLISH LANGUAGE UNIT 2,50,,37,32,27,23,19
2018,june,LT01,ENGLISH LITERATURE UNIT 1,50,,35,29,24,19,14
2018,june,LT02,ENGLISH LITERATURE UNIT 2,50,,34,29,24,19,15
2018,june,FM01,FURTHER MATHEMATICS UNIT 1,80,,64,55,46,38,30
2018,june,FM02,FURTHER MATHEMATICS UNIT 2,80,,63,54,46,38,30
2018,june,MA01,MATHEMATICS UNIT 1,80,,64,55,46,37,29
2018,june,MA02,MATHEMATICS UNIT 2,80,,64,55,47,39,31
2018,june,PH01,PHYSICS UNIT 1,80,,50,44,39,34,29
2018,june,PH03,PHYSICS UNIT 3,80,56,50,44,38,33,28
2018,june,PH04,PHYSICS UNIT 4,80,57,51,45,39,33,28
2018,june,PH05,PHYSICS UNIT 5,80,55,49,43,37,32,27
2023,june,BL01,BIOLOGY UNIT 1,75,,49,43,37,31,26
2023,june,BL02,BIOLOGY UNIT 2,75,,47,42,37,32,27
